0.0mA_x,0.0mA_y,0.1mA_x,0.1mA_y,0.2mA_x,0.2mA_y,0.3mA_x,0.3mA_y
225.2553,  0.8779,257.3974,  0.8767,264.8148,  1.0386,264.9449,  1.3850
226.9880,  0.8769,259.3774,  0.8758,266.8519,  1.0389,266.9830,  1.3885
228.7207,  0.8760,261.3574,  0.8748,268.8889,  1.0393,269.0210,  1.3920
230.4535,  0.8750,263.3373,  0.8739,270.9259,  1.0397,271.0591,  1.3955
232.1862,  0.8741,265.3173,  0.8729,272.9630,  1.0401,273.0971,  1.3991
233.9189,  0.8732,267.2973,  0.8720,275.0000,  1.0404,275.1351,  1.4026
235.6517,  0.8722,269.2773,  0.8710,277.0370,  1.0408,277.1732,  1.4061
237.3844,  0.8713,271.2573,  0.8702,279.0741,  1.0412,279.2112,  1.4096
239.1171,  0.8703,273.2372,  0.8705,281.1111,  1.0416,281.2492,  1.4131
240.8498,  0.8694,275.2172,  0.8707,283.1481,  1.0419,283.2873,  1.4167
242.5826,  0.8685,277.1972,  0.8710,285.1852,  1.0423,285.3253,  1.4202
244.3153,  0.8675,279.1772,  0.8712,287.2222,  1.0427,287.3634,  1.4237
246.0480,  0.8666,281.1572,  0.8715,289.2593,  1.0431,289.4014,  1.4272
247.7808,  0.8657,283.1371,  0.8717,291.2963,  1.0435,291.4394,  1.4307
249.5135,  0.8647,285.1171,  0.8720,293.3333,  1.0438,293.4775,  1.4342
251.2462,  0.8638,287.0971,  0.8722,295.3704,  1.0442,295.5155,  1.4378
252.9790,  0.8628,289.0771,  0.8725,297.4074,  1.0446,297.5536,  1.4413
254.7117,  0.8619,291.0571,  0.8727,299.4444,  1.0450,299.5916,  1.4448
256.4444,  0.8610,293.0370,  0.8730,301.4815,  1.0453,301.6296,  1.4483
258.1772,  0.8600,295.0170,  0.8732,303.5185,  1.0457,303.6677,  1.4518
259.9099,  0.8591,296.9970,  0.8734,305.5556,  1.0461,305.7057,  1.4554
261.6426,  0.8584,298.9770,  0.8737,307.5926,  1.0465,307.7437,  1.4589
263.3754,  0.8576,300.9570,  0.8739,309.6296,  1.0469,309.7818,  1.4624
265.1081,  0.8569,302.9369,  0.8753,311.6667,  1.0472,311.8198,  1.4659
266.8408,  0.8562,304.9169,  0.8766,313.7037,  1.0476,313.8579,  1.4694
268.5736,  0.8555,306.8969,  0.8779,315.7407,  1.0480,315.8959,  1.4730
270.3063,  0.8548,308.8769,  0.8793,317.7778,  1.0484,317.9339,  1.4765
272.0390,  0.8541,310.8569,  0.8806,319.8148,  1.0487,319.9720,  1.4800
273.7718,  0.8534,312.8368,  0.8820,321.8519,  1.0491,322.0100,  1.4835
275.5045,  0.8527,314.8168,  0.8833,323.8889,  1.0511,324.0480,  1.4870
277.2372,  0.8520,316.7968,  0.8848,325.9259,  1.0532,326.0861,  1.4906
